,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",34.2,7,22,0.95,1,3,88,36,128,.719,39,9,13
1,Aston Villa,38,"3,420",26.3,20,10,1.50,0,3,90,57,168,.661,38,8,10
2,Burnley,38,"3,420",26.3,19,7,1.39,0,1,90,53,179,.704,38,12,10
3,Chelsea,38,"3,420",44.7,3,26,0.84,1,2,88,32,121,.736,39,9,17
4,Crystal Palace,38,"3,420",18.4,16,13,1.34,1,2,88,51,144,.646,39,9,7
5,Everton,38,"3,420",26.3,15,12,1.32,1,2,88,50,128,.609,39,11,10
6,Hull City,38,"3,420",26.3,19,8,1.34,1,3,88,51,153,.667,39,11,10
7,Leicester City,38,"3,420",26.3,19,11,1.45,0,3,90,55,173,.682,38,8,10
8,Liverpool,38,"3,420",36.8,12,18,1.26,1,2,88,48,139,.655,39,8,14
9,Manchester City,38,"3,420",36.8,7,24,1.00,0,2,90,38,128,.703,38,7,14
10,Manchester United,38,"3,420",28.9,8,20,0.97,1,2,88,37,135,.726,39,10,11
11,Newcastle United,38,"3,420",21.1,19,10,1.66,1,3,88,63,161,.609,39,9,8
12,Queens Park Rangers,38,"3,420",15.8,24,8,1.92,1,2,88,73,209,.651,39,6,6
13,Southampton,38,"3,420",39.5,14,18,0.87,1,3,88,33,110,.700,39,6,15
14,Stoke City,38,"3,420",23.7,14,15,1.18,0,2,90,45,140,.679,38,9,9
15,Sunderland,38,"3,420",34.2,14,7,1.39,0,2,90,53,192,.724,38,17,13
16,Swansea City,38,"3,420",34.2,14,16,1.29,1,2,88,49,188,.739,39,8,13
17,Tottenham Hotspur,38,"3,420",23.7,12,19,1.39,1,2,88,53,170,.688,39,7,9
18,West Bromwich Albion,38,"3,420",42.1,16,11,1.34,1,2,88,51,182,.720,39,11,16
19,West Ham United,38,"3,420",23.7,15,12,1.24,1,2,88,47,174,.730,39,11,9
