,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,5,3.95,2.21,515,66,2.08,28,1.55,13.55,84,38,6.82,56,259,3,3.82,6
1,Aston Villa,3,1.87,1.11,571,29,1.03,27,1.82,15.03,42,38,5.16,65,196,4,1.79,4
2,Birmingham City,4,1.74,1.05,553,26,0.95,34,1.95,14.55,40,38,3.71,70,141,4,1.63,5
3,Blackburn Rovers,5,2.32,1.32,590,38,1.18,27,1.74,15.53,50,38,4.58,62,174,4,2.18,6
4,Bolton Wanderers,1,1.63,1.00,464,24,0.82,27,1.84,12.21,38,38,4.00,66,152,4,1.45,2
5,Charlton Athletic,4,1.76,1.13,533,24,1.03,26,1.55,14.03,43,38,4.11,57,156,2,1.66,5
6,Chelsea,3,2.82,1.76,498,40,1.68,21,1.68,13.11,67,38,5.84,63,222,1,2.74,3
7,Everton,4,2.11,1.26,514,32,1.16,26,1.55,13.53,48,38,4.79,52,182,7,2.00,4
8,Fulham,6,1.61,1.00,540,23,0.84,27,1.63,14.21,38,38,4.79,56,182,6,1.45,7
9,Leeds United,4,2.45,1.42,568,39,1.32,26,1.87,14.95,54,38,4.63,69,176,2,2.34,5
10,Liverpool,4,2.89,1.61,439,49,1.50,23,1.34,11.55,61,38,5.50,48,209,3,2.79,6
11,Manchester City,2,2.29,1.24,510,40,1.18,26,1.61,13.42,47,38,4.42,55,168,6,2.24,2
12,Manchester United,9,3.39,1.92,488,56,1.68,26,1.32,12.84,73,38,6.18,49,235,1,3.16,9
13,Middlesbrough,2,2.08,1.26,515,31,1.18,29,1.50,13.55,48,38,3.66,52,139,5,2.00,3
14,Newcastle United,3,2.76,1.66,500,42,1.58,25,1.39,13.16,63,38,5.82,50,221,3,2.68,4
15,Southampton,6,1.74,1.11,548,24,0.95,24,1.32,14.42,42,38,5.03,47,191,3,1.58,6
16,Sunderland,1,0.97,0.55,573,16,0.53,33,1.61,15.08,21,38,3.74,61,142,0,0.95,3
17,Tottenham Hotspur,3,2.24,1.32,497,35,1.16,24,1.66,13.08,50,38,4.37,60,166,6,2.05,3
18,West Bromwich Albion,1,1.05,0.76,573,11,0.74,22,1.53,15.08,29,38,4.39,54,167,4,1.03,1
19,West Ham United,4,1.84,1.08,542,29,0.97,24,1.89,14.26,41,38,4.87,68,185,4,1.74,5
