squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,4,3.18,1.84,442,51,1.74,27,1.95,11.63,70,38,6.39,68,243,6,3.08,7,38,3420,34.2,8,19,1.16,0,4,90,44,150,0.7070000000000001,38,11,13,2010
Aston Villa,4,2.03,1.18,448,32,1.08,32,1.89,11.79,45,38,4.39,70,167,2,1.92,6,38,3420,18.4,14,12,1.55,0,1,90,59,189,0.688,38,12,7,2010
Birmingham City,2,1.58,0.97,420,23,0.92,26,1.58,11.05,37,38,3.21,57,122,3,1.53,2,38,3420,23.7,15,8,1.53,1,2,88,58,257,0.774,39,15,9,2010
Blackburn Rovers,1,1.87,1.13,465,28,1.11,29,1.82,12.24,43,38,3.76,65,143,4,1.84,2,38,3420,21.1,17,11,1.55,1,2,88,59,194,0.696,39,10,8,2010
Blackpool,7,2.18,1.42,433,29,1.24,30,1.29,11.39,54,38,4.5,47,171,2,2.0,8,38,3420,15.8,19,10,2.11,3,4,83,80,240,0.667,41,9,6,2010
Bolton Wanderers,4,2.21,1.32,503,34,1.21,24,1.97,13.24,50,38,4.63,69,176,6,2.11,5,38,3420,13.2,16,12,1.47,1,2,88,56,193,0.71,39,10,5,2010
Chelsea,6,2.82,1.79,433,39,1.63,24,1.58,11.39,68,38,6.34,59,241,1,2.66,8,38,3420,39.5,9,21,0.87,0,1,90,33,148,0.777,38,8,15,2010
Everton,3,2.18,1.32,482,33,1.24,24,1.66,12.68,50,38,5.05,58,192,5,2.11,4,38,3420,23.7,10,13,1.18,0,1,90,45,153,0.706,38,15,9,2010
Fulham,2,2.11,1.26,477,32,1.21,29,1.39,12.55,48,38,4.79,52,182,1,2.05,3,38,3420,36.8,11,11,1.13,0,2,90,43,171,0.7490000000000001,38,16,14,2010
Liverpool,7,2.32,1.53,458,30,1.34,30,1.74,12.05,58,38,5.37,64,204,2,2.13,8,38,3420,36.8,14,17,1.16,0,1,90,44,149,0.705,38,7,14,2010
Manchester City,8,2.39,1.47,481,35,1.26,27,2.05,12.66,56,38,4.79,73,182,5,2.18,9,38,3420,47.4,9,21,0.87,0,1,90,33,153,0.784,38,8,18,2010
Manchester United,3,3.53,1.97,420,59,1.89,29,1.61,11.05,75,38,5.74,58,218,3,3.45,5,38,3420,39.5,4,23,0.97,0,2,90,37,139,0.7340000000000001,38,11,15,2010
Newcastle United,5,2.37,1.45,462,35,1.32,30,2.05,12.16,55,38,4.71,76,179,2,2.24,5,38,3420,21.1,14,11,1.5,1,2,88,57,161,0.6459999999999999,39,13,8,2010
Stoke City,3,1.89,1.16,428,28,1.08,25,1.87,11.26,44,38,3.84,69,146,2,1.82,3,38,3420,23.7,18,13,1.26,0,2,90,48,176,0.727,38,7,9,2010
Sunderland,4,1.68,1.08,432,23,0.97,31,1.71,11.37,41,38,4.18,60,159,5,1.58,5,38,3420,34.2,15,12,1.47,0,2,90,56,206,0.728,38,11,13,2010
Tottenham Hotspur,5,2.32,1.42,382,34,1.29,28,1.39,10.05,54,38,5.32,51,202,2,2.18,5,38,3420,21.1,8,16,1.21,0,2,90,46,183,0.7490000000000001,38,14,8,2010
West Bromwich Albion,4,2.34,1.37,425,37,1.26,28,1.61,11.18,52,38,4.82,54,183,7,2.24,6,38,3420,5.3,15,12,1.87,0,2,90,71,182,0.61,38,11,2,2010
West Ham United,5,1.63,1.08,447,21,0.95,35,1.58,11.76,41,38,4.63,59,176,1,1.5,6,38,3420,13.2,19,7,1.84,0,2,90,70,243,0.7120000000000001,38,12,5,2010
Wigan Athletic,2,1.5,0.97,484,20,0.92,25,1.89,12.74,37,38,4.61,68,175,4,1.45,3,38,3420,18.4,14,9,1.61,1,3,88,61,196,0.6890000000000001,39,15,7,2010
Wolverhampton Wanderers,3,1.95,1.18,473,29,1.11,30,1.71,12.45,45,38,3.82,63,145,2,1.87,3,38,3420,13.2,20,11,1.74,0,2,90,66,199,0.6679999999999999,38,7,5,2010
