,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,2,3.42,1.92,405,57,1.87,32,1.87,10.66,73,38,6.05,67,230,4,3.37,3
1,Aston Villa,3,1.66,0.97,415,26,0.89,27,1.89,10.92,37,38,3.84,70,146,2,1.58,3
2,Blackburn Rovers,4,2.00,1.16,442,32,1.05,31,1.92,11.63,44,38,3.95,68,150,5,1.89,8
3,Bolton Wanderers,5,1.89,1.13,448,29,1.00,30,1.47,11.79,43,38,4.18,51,159,5,1.76,6
4,Chelsea,4,2.84,1.66,419,45,1.55,29,2.08,11.03,63,38,6.11,75,232,4,2.74,5
5,Everton,5,2.08,1.24,452,32,1.11,29,1.55,11.89,47,38,4.37,58,166,1,1.95,5
6,Fulham,3,1.97,1.16,370,31,1.08,28,1.42,9.74,44,38,5.18,54,197,0,1.89,4
7,Liverpool,1,1.71,1.11,390,23,1.08,26,1.58,10.26,42,38,5.53,55,210,5,1.68,4
8,Manchester City,7,4.32,2.39,422,73,2.21,24,1.58,11.11,91,38,6.89,55,262,5,4.13,8
9,Manchester United,9,4.11,2.29,378,69,2.05,31,1.34,9.95,87,38,6.71,50,255,1,3.87,11
10,Newcastle United,2,2.29,1.34,405,36,1.29,26,1.82,10.66,51,38,4.13,67,157,2,2.24,3
11,Norwich City,2,2.24,1.37,399,33,1.32,27,1.63,10.50,52,38,4.50,59,171,3,2.18,2
12,Queens Park Rangers,2,1.74,1.08,405,25,1.03,34,1.71,10.66,41,38,4.11,56,156,9,1.68,2
13,Stoke City,4,1.66,0.92,446,28,0.82,23,1.63,11.74,35,38,2.76,60,105,2,1.55,6
14,Sunderland,1,1.79,1.13,396,25,1.11,28,1.66,10.42,43,38,3.87,60,147,3,1.76,2
15,Swansea City,5,1.76,1.13,313,24,1.00,25,1.13,8.24,43,38,3.92,41,149,2,1.63,6
16,Tottenham Hotspur,4,3.00,1.74,381,48,1.63,29,1.26,10.03,66,38,6.32,45,240,3,2.89,5
17,West Bromwich Albion,1,1.95,1.16,421,30,1.13,25,1.29,11.08,44,38,4.84,48,184,1,1.92,2
18,Wigan Athletic,5,1.66,1.08,468,22,0.95,24,1.87,12.32,41,38,4.24,68,161,3,1.53,7
19,Wolverhampton Wanderers,3,1.71,1.05,364,25,0.97,32,1.82,9.58,40,38,4.00,65,152,4,1.63,4
