,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",34.2,13,19,1.34,1,2,88,51,150,.660,39,6,13
1,Bournemouth,38,"3,420",15.8,16,11,1.61,0,1,90,61,171,.643,38,11,6
2,Brighton & Hove Albion,38,"3,420",26.3,16,9,1.42,0,1,90,54,181,.702,38,13,10
3,Burnley,38,"3,420",28.9,12,14,1.03,1,2,88,39,164,.762,39,12,11
4,Chelsea,38,"3,420",42.1,10,21,1.00,0,2,90,38,120,.683,38,7,16
5,Crystal Palace,38,"3,420",23.7,16,11,1.45,0,2,90,55,177,.689,38,11,9
6,Everton,38,"3,420",26.3,15,13,1.53,0,1,90,58,184,.685,38,10,10
7,Huddersfield Town,38,"3,420",26.3,19,9,1.50,0,1,90,57,165,.655,38,10,10
8,Leicester City,38,"3,420",23.7,15,12,1.58,1,3,88,60,161,.627,39,11,9
9,Liverpool,38,"3,420",44.7,5,21,1.00,0,2,90,38,106,.642,38,12,17
10,Manchester City,38,"3,420",44.7,2,32,0.71,1,2,88,27,85,.682,39,4,17
11,Manchester United,38,"3,420",50.0,7,25,0.74,0,2,90,28,148,.811,38,6,19
12,Newcastle United,38,"3,420",23.7,18,12,1.24,0,3,90,47,157,.701,38,8,9
13,Southampton,38,"3,420",21.1,16,7,1.47,0,2,90,56,167,.665,38,15,8
14,Stoke City,38,"3,420",18.4,19,7,1.79,0,2,90,68,219,.689,38,12,7
15,Swansea City,38,"3,420",23.7,21,8,1.47,0,1,90,56,191,.707,38,9,9
16,Tottenham Hotspur,38,"3,420",42.1,7,23,0.95,0,3,90,36,125,.712,38,8,16
17,Watford,38,"3,420",23.7,19,11,1.68,1,2,88,64,159,.597,39,8,9
18,West Bromwich Albion,38,"3,420",26.3,19,6,1.47,0,2,90,56,156,.641,38,13,10
19,West Ham United,38,"3,420",26.3,16,10,1.79,0,2,90,68,190,.642,38,12,10
