squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,1,3.03,1.63,348,53,1.61,25,1.21,9.16,62,38,5.53,42,210,4,3.0,2,38,3420,47.4,7,20,0.95,0,2,90,36,149,0.758,38,11,18,2015
Aston Villa,2,1.13,0.63,429,19,0.58,29,2.05,11.29,24,38,2.89,75,110,3,1.08,2,38,3420,15.8,27,3,2.0,0,2,90,76,186,0.591,38,8,6,2015
Bournemouth,3,1.87,1.13,361,28,1.05,28,1.42,9.5,43,38,3.76,53,143,1,1.79,4,38,3420,18.4,18,11,1.76,1,3,88,67,153,0.562,39,9,7,2015
Chelsea,4,2.5,1.45,401,40,1.34,28,1.71,10.55,55,38,4.53,60,172,5,2.39,5,38,3419,23.7,12,12,1.4,2,2,85,53,172,0.6920000000000001,40,14,9,2015
Crystal Palace,4,1.55,1.0,465,21,0.89,30,1.66,12.24,38,38,4.03,61,153,2,1.45,5,38,3420,21.1,18,11,1.34,0,3,90,51,168,0.696,38,9,8,2015
Everton,4,2.63,1.47,306,44,1.37,31,1.37,8.05,56,38,4.58,47,174,5,2.53,5,38,3420,26.3,13,11,1.45,0,2,90,55,180,0.6940000000000001,38,14,10,2015
Leicester City,10,2.92,1.79,406,43,1.53,23,1.42,10.68,68,38,4.71,51,179,3,2.66,13,38,3420,39.5,3,23,0.95,0,1,90,36,136,0.735,38,12,15,2015
Liverpool,2,2.95,1.63,410,50,1.58,34,1.76,10.79,62,38,5.24,64,199,3,2.89,2,38,3420,0.0,10,16,1.32,0,3,90,50,130,0.615,38,12,0,2015
Manchester City,5,3.26,1.87,409,53,1.74,25,1.61,10.76,71,38,5.53,61,210,0,3.13,8,38,3420,42.1,10,19,1.08,1,2,88,41,125,0.672,39,9,16,2015
Manchester United,3,2.03,1.21,473,31,1.13,33,1.76,12.45,46,38,3.79,66,144,1,1.95,3,38,3420,47.4,10,19,0.92,0,2,90,35,120,0.708,38,9,18,2015
Newcastle United,3,2.03,1.13,419,34,1.05,31,1.71,11.03,43,38,3.95,60,150,5,1.95,3,38,3420,21.1,19,9,1.71,0,3,90,65,178,0.635,38,10,8,2015
Norwich City,1,1.71,1.0,431,27,0.97,28,1.71,11.34,38,38,3.42,62,130,3,1.68,1,38,3420,13.2,22,9,1.76,0,2,90,67,165,0.594,38,7,5,2015
Southampton,3,2.71,1.53,417,45,1.45,26,1.74,10.97,58,38,4.34,60,165,6,2.63,4,38,3420,31.6,11,18,1.08,0,4,90,41,133,0.6920000000000001,38,9,12,2015
Stoke City,5,1.82,1.05,420,29,0.92,27,1.47,11.05,40,38,3.34,52,127,4,1.68,5,38,3420,26.3,15,14,1.45,1,3,88,55,175,0.6859999999999999,39,9,10,2015
Sunderland,3,1.95,1.16,484,30,1.08,31,1.79,12.74,44,38,4.55,66,173,2,1.87,3,38,3420,18.4,17,9,1.63,0,3,90,62,214,0.71,38,12,7,2015
Swansea City,5,1.74,1.08,392,25,0.95,27,1.61,10.32,41,38,3.55,60,135,1,1.61,5,38,3420,23.7,15,12,1.37,0,2,90,52,165,0.685,38,11,9,2015
Tottenham Hotspur,5,3.11,1.79,451,50,1.66,24,1.89,11.87,68,38,6.58,72,250,0,2.97,5,38,3420,34.2,6,19,0.92,0,2,90,35,121,0.711,38,13,13,2015
Watford,6,1.47,1.0,455,18,0.84,25,2.05,11.97,38,38,3.66,75,139,3,1.32,7,38,3420,28.9,17,12,1.32,1,2,88,50,124,0.597,39,9,11,2015
West Bromwich Albion,1,1.5,0.84,400,25,0.82,28,1.79,10.53,32,38,2.84,65,108,3,1.47,5,38,3420,28.9,15,10,1.26,0,2,90,48,155,0.69,38,13,11,2015
West Ham United,4,2.68,1.68,381,38,1.58,28,1.63,10.03,64,38,4.89,57,186,5,2.58,4,38,3420,28.9,8,16,1.34,0,2,90,51,162,0.685,38,14,11,2015
