squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,4,1.83,1.19,,27,1.1,20,0.74,,50,42,5.33,30,224,1,1.74,5,42,3780,50.0,7,18,0.67,1,2,88,28,148,0.8109999999999999,43,17,21,1993
Aston Villa,3,1.74,1.07,,28,1.0,24,0.52,,45,42,3.95,21,166,1,1.67,3,42,3850,35.7,15,15,1.17,2,2,88,50,175,0.7140000000000001,44,12,15,1993
Blackburn Rovers,3,2.5,1.5,,42,1.43,21,0.67,,63,42,5.83,28,245,0,2.43,4,54,4860,33.3,16,27,1.09,0,2,90,59,253,0.767,54,11,18,1993
Chelsea,3,1.83,1.21,,28,1.1,26,0.76,,51,42,4.24,30,178,2,1.76,5,42,3780,26.2,17,13,1.26,0,2,90,53,192,0.7240000000000001,42,12,11,1993
Coventry City,3,1.62,1.02,,25,0.95,26,0.31,,43,42,4.67,13,196,0,1.55,5,42,3780,33.3,14,14,1.07,0,2,90,45,198,0.773,42,14,14,1993
Everton,3,1.48,1.02,,23,0.86,21,0.83,,43,42,4.36,35,183,0,1.4,4,42,3780,23.8,22,12,1.5,0,1,90,63,226,0.721,42,8,10,1993
Ipswich Town,2,1.19,0.74,,19,0.69,19,0.5,,31,42,4.21,21,177,0,1.14,3,42,3780,33.3,17,9,1.38,0,2,90,58,247,0.765,42,16,14,1993
Leeds United,1,2.26,1.5,,38,1.33,23,0.81,,63,42,4.74,34,199,0,2.24,2,42,3780,42.9,8,18,0.93,0,2,90,39,186,0.79,42,16,18,1993
Liverpool,5,2.12,1.29,,35,1.07,22,0.64,,54,42,5.21,30,219,1,1.81,7,42,3750,21.4,16,17,1.32,1,2,87,55,191,0.7120000000000001,43,9,9,1993
Manchester City,1,1.14,0.83,,15,0.76,29,0.57,,35,42,3.24,24,136,0,1.12,2,42,3780,31.0,15,9,1.17,0,2,90,49,201,0.7559999999999999,42,18,13,1993
Manchester United,3,3.19,1.88,,55,1.81,24,0.79,,79,42,5.9,31,248,2,3.12,3,48,4410,35.4,7,31,0.96,1,2,90,47,187,0.7490000000000001,49,12,17,1993
Newcastle United,9,3.1,1.9,,50,1.64,23,0.45,,80,42,5.4,18,227,1,2.83,10,42,3818,35.7,11,24,0.97,1,3,89,41,200,0.795,43,8,15,1993
Norwich City,1,2.45,1.52,,39,1.33,21,0.62,,64,42,4.38,24,184,2,2.24,1,42,3780,23.8,13,12,1.45,1,2,88,61,204,0.701,43,17,10,1993
Oldham Athletic,1,1.55,0.95,,25,0.93,24,0.81,,40,42,3.95,30,166,4,1.52,2,36,3330,16.7,17,7,1.59,1,3,90,59,187,0.684,37,12,6,1993
Queens Park Rangers,5,2.31,1.43,,37,1.24,21,0.74,,60,42,4.43,28,186,3,2.12,6,42,3780,23.8,14,16,1.45,0,2,90,61,196,0.6890000000000001,42,12,10,1993
Sheffield United,0,1.6,0.98,,26,0.98,25,1.0,,41,42,4.21,38,177,4,1.6,0,42,3940,31.0,9,8,1.37,3,2,88,60,192,0.688,45,18,13,1993
Sheffield Wednesday,2,2.81,1.69,,47,1.64,24,0.6,,71,42,5.45,23,229,2,2.76,3,42,3780,23.8,10,16,1.29,0,2,90,54,194,0.722,42,16,10,1993
Southampton,7,1.9,1.19,,30,1.02,25,0.95,,50,42,4.86,39,204,1,1.74,7,30,2700,20.0,15,10,1.43,0,2,90,43,144,0.701,30,5,6,1993
Swindon Town,7,1.74,1.07,,28,0.9,24,0.93,,45,42,4.5,38,189,1,1.57,8,40,3700,10.0,21,5,2.26,3,3,86,93,239,0.611,43,15,4,1993
Tottenham Hotspur,2,2.0,1.26,,31,1.21,26,0.62,,53,42,4.64,25,195,1,1.95,4,42,3780,21.4,19,11,1.4,1,2,88,59,172,0.657,43,12,9,1993
West Ham United,2,1.74,1.05,,29,1.0,20,0.45,,44,42,4.02,19,169,0,1.69,3,42,3780,19.0,16,13,1.38,0,1,90,58,193,0.6990000000000001,42,13,8,1993
Wimbledon,1,1.83,1.17,,28,1.14,22,0.83,,49,42,4.69,35,197,0,1.81,2,42,3780,28.6,13,18,1.26,1,2,88,53,169,0.6859999999999999,43,11,12,1993
