,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,10,2.84,1.58,367,48,1.32,24,1.61,9.66,60,38,6.55,58,249,3,2.58,11
1,Aston Villa,6,2.00,1.18,541,31,1.03,29,1.34,14.24,45,38,6.00,50,228,1,1.84,8
2,Blackburn Rovers,5,2.16,1.29,497,33,1.16,27,2.08,13.08,49,38,5.55,73,211,6,2.03,7
3,Bolton Wanderers,6,2.11,1.18,528,35,1.03,22,2.37,13.89,45,38,5.13,86,195,4,1.95,7
4,Charlton Athletic,4,1.42,0.84,443,22,0.74,28,1.79,11.66,32,38,4.53,64,172,4,1.32,4
5,Chelsea,3,2.82,1.53,437,49,1.45,25,1.79,11.50,58,38,6.18,64,235,4,2.74,4
6,Everton,8,2.24,1.32,523,35,1.11,24,1.74,13.76,50,38,5.26,65,200,1,2.03,8
7,Fulham,3,1.66,0.95,459,27,0.87,24,1.61,12.08,36,38,4.66,58,177,3,1.58,3
8,Liverpool,6,2.63,1.47,446,44,1.32,27,1.16,11.74,56,38,6.55,44,249,0,2.47,7
9,Manchester City,2,1.29,0.74,493,21,0.68,26,1.50,12.97,28,38,4.71,53,179,4,1.24,4
10,Manchester United,5,3.68,2.11,426,60,1.97,25,1.53,11.21,80,38,7.89,57,300,1,3.55,6
11,Middlesbrough,4,2.00,1.13,489,33,1.03,26,1.76,12.87,43,38,4.45,65,169,2,1.89,5
12,Newcastle United,5,1.68,1.00,461,26,0.87,29,1.82,12.13,38,38,4.79,68,182,1,1.55,5
13,Portsmouth,2,1.87,1.05,505,31,1.00,22,1.29,13.29,40,38,5.13,47,195,2,1.82,3
14,Reading,3,2.26,1.26,400,38,1.18,23,1.13,10.53,48,38,4.39,40,167,3,2.18,3
15,Sheffield United,2,1.37,0.82,438,21,0.76,29,1.79,11.53,31,38,5.08,66,193,2,1.32,4
16,Tottenham Hotspur,5,2.39,1.42,410,37,1.29,25,1.26,10.79,54,38,5.63,45,214,3,2.26,5
17,Watford,3,1.11,0.63,517,18,0.55,28,1.26,13.61,24,38,3.79,46,144,2,1.03,3
18,West Ham United,1,1.61,0.95,573,25,0.92,26,2.58,15.08,36,38,4.03,94,153,4,1.58,3
19,Wigan Athletic,3,1.61,0.97,510,24,0.89,23,2.11,13.42,37,38,4.95,76,188,4,1.53,6
