squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,5,3.21,1.74,,56,1.61,21,2.0,,66,38,6.55,72,249,4,3.08,6,38,3420,50.0,6,23,0.87,0,2,90,33,134,0.754,38,9,19,1997
Aston Villa,3,2.32,1.29,,39,1.21,18,1.24,,49,38,5.45,45,207,2,2.24,4,38,3420,23.7,15,17,1.26,0,2,90,48,163,0.706,38,6,9,1997
Barnsley,3,1.45,0.97,,18,0.89,21,1.76,,37,38,4.08,62,155,5,1.37,5,38,3484,13.2,23,10,2.12,1,2,89,82,284,0.711,39,5,5,1997
Blackburn Rovers,2,2.87,1.45,,54,1.39,19,1.58,,55,38,6.05,56,230,4,2.82,2,48,4320,31.3,17,18,1.48,0,4,90,71,245,0.71,48,11,15,1997
Bolton Wanderers,3,1.95,1.08,,33,1.0,24,1.97,,41,38,6.13,70,233,5,1.87,3,38,3472,26.3,16,9,1.58,2,2,87,61,217,0.7190000000000001,40,13,10,1997
Chelsea,6,3.5,1.76,,66,1.61,25,1.84,,67,38,5.89,67,224,3,3.34,6,38,3420,36.8,15,20,1.13,0,2,90,43,168,0.7440000000000001,38,3,14,1997
Coventry City,5,2.05,1.21,,32,1.08,20,1.95,,46,38,5.18,69,197,5,1.92,7,39,3510,33.3,10,12,1.13,0,2,90,44,192,0.7709999999999999,39,16,13,1997
Crystal Palace,1,1.63,0.92,,27,0.89,24,1.82,,35,38,3.76,66,143,3,1.61,2,38,3420,15.8,21,8,1.87,0,1,90,71,250,0.716,38,9,6,1997
Derby County,5,2.32,1.37,,36,1.24,23,2.08,,52,38,5.89,77,224,2,2.18,6,38,3420,34.2,15,16,1.29,0,2,90,49,138,0.645,38,7,13,1997
Everton,0,1.61,1.0,,30,0.82,30,2.08,,38,38,4.32,75,164,4,1.61,0,38,3420,26.3,16,9,1.47,0,3,90,56,197,0.716,38,13,10,1997
Leeds United,1,2.5,1.37,,43,1.34,19,2.13,,52,38,5.26,76,200,5,2.47,2,38,3420,28.9,14,17,1.5,0,2,90,57,176,0.6759999999999999,38,8,11,1997
Leicester City,4,2.39,1.34,,40,1.24,20,1.18,,51,38,4.74,43,180,2,2.29,4,38,3420,39.5,11,13,1.08,0,2,90,41,194,0.789,38,14,15,1997
Liverpool,4,3.29,1.79,,57,1.61,22,1.34,,68,38,6.45,52,245,2,3.03,5,38,3420,34.2,9,18,1.11,0,2,90,42,158,0.7340000000000001,38,11,13,1997
Manchester United,3,3.29,1.79,,57,1.71,23,1.63,,68,38,5.84,61,222,1,3.21,6,39,3510,51.3,7,23,0.67,0,3,90,26,138,0.812,39,8,20,1997
Newcastle United,1,1.5,0.92,,25,0.82,24,1.66,,35,38,4.87,60,185,3,1.47,2,39,3510,23.1,16,11,1.13,0,3,90,44,154,0.7140000000000001,39,11,9,1997
Sheffield Wednesday,3,2.5,1.34,,44,1.26,25,2.0,,51,38,5.24,71,199,5,2.42,3,38,3484,21.1,18,12,1.73,1,2,89,67,205,0.6729999999999999,39,8,8,1997
Southampton,5,2.24,1.26,,37,1.13,24,1.63,,48,38,4.45,58,169,4,2.11,5,38,3420,21.1,18,14,1.45,0,1,90,55,194,0.716,38,6,8,1997
Tottenham Hotspur,0,2.18,1.16,,39,1.16,25,1.53,,44,38,5.47,56,208,2,2.18,2,38,3420,26.3,16,11,1.47,0,2,90,56,194,0.711,38,11,10,1997
West Ham United,1,2.5,1.39,,42,1.37,23,1.71,,53,38,5.95,60,226,5,2.47,1,38,3420,21.1,14,16,1.5,0,3,90,57,199,0.7140000000000001,38,8,8,1997
Wimbledon,1,1.61,0.84,,29,0.82,21,1.32,,32,38,4.61,48,175,2,1.58,1,38,3420,34.2,14,10,1.21,0,1,90,46,182,0.747,38,14,13,1997
