squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,4,3.53,1.92,388,61,1.82,30,1.55,10.21,73,38,6.37,57,242,2,3.42,5,38,3420,34.2,13,19,1.34,1,2,88,51,150,0.66,39,6,13,2017
Bournemouth,3,2.13,1.18,339,36,1.11,22,1.5,8.92,45,38,4.16,56,158,1,2.05,3,38,3420,15.8,16,11,1.61,0,1,90,61,171,0.643,38,11,6,2017
Brighton & Hove Albion,5,1.53,0.87,414,25,0.74,24,1.47,10.89,33,38,3.16,54,120,2,1.39,7,38,3420,26.3,16,9,1.42,0,1,90,54,181,0.7020000000000001,38,13,10,2017
Burnley,0,1.61,0.92,352,26,0.92,24,1.71,9.26,35,38,3.34,65,127,0,1.61,0,38,3420,28.9,12,14,1.03,1,2,88,39,164,0.762,39,12,11,2017
Chelsea,3,2.68,1.58,364,42,1.5,26,1.26,9.58,60,38,5.84,44,222,4,2.61,3,38,3420,42.1,10,21,1.0,0,2,90,38,120,0.6829999999999999,38,7,16,2017
Crystal Palace,8,1.84,1.16,425,26,0.95,28,1.89,11.18,44,38,3.97,72,151,0,1.63,10,38,3420,23.7,16,11,1.45,0,2,90,55,177,0.6890000000000001,38,11,9,2017
Everton,5,1.79,1.11,454,26,0.97,30,1.47,11.95,42,38,3.24,53,123,3,1.66,8,38,3420,26.3,15,13,1.53,0,1,90,58,184,0.685,38,10,10,2017
Huddersfield Town,2,1.16,0.66,397,19,0.61,25,1.74,10.45,25,38,2.89,63,110,3,1.11,2,38,3420,26.3,19,9,1.5,0,1,90,57,165,0.655,38,10,10,2017
Leicester City,5,2.39,1.39,370,38,1.26,27,1.61,9.74,53,38,4.0,56,152,5,2.26,6,38,3420,23.7,15,12,1.58,1,3,88,60,161,0.627,39,11,9,2017
Liverpool,2,3.68,2.16,349,58,2.11,27,1.18,9.18,82,38,6.08,44,231,1,3.63,3,38,3420,44.7,5,21,1.0,0,2,90,38,106,0.642,38,12,17,2017
Manchester City,6,4.95,2.71,343,85,2.55,25,1.66,9.03,103,38,6.97,61,265,2,4.79,8,38,3420,44.7,2,32,0.71,1,2,88,27,85,0.682,39,4,17,2017
Manchester United,1,3.16,1.76,403,53,1.74,27,1.71,10.61,67,38,4.71,64,179,1,3.13,3,38,3420,50.0,7,25,0.74,0,2,90,28,148,0.8109999999999999,38,6,19,2017
Newcastle United,0,1.76,1.0,407,29,1.0,27,1.45,10.71,38,38,3.97,53,151,2,1.76,1,38,3420,23.7,18,12,1.24,0,3,90,47,157,0.701,38,8,9,2017
Southampton,3,1.55,0.95,415,23,0.87,26,1.74,10.92,36,38,3.82,64,145,2,1.47,3,38,3420,21.1,16,7,1.47,0,2,90,56,167,0.665,38,15,8,2017
Stoke City,0,1.63,0.89,433,28,0.89,30,1.66,11.39,34,38,3.45,62,131,1,1.63,3,38,3420,18.4,19,7,1.79,0,2,90,68,219,0.6890000000000001,38,12,7,2017
Swansea City,1,1.24,0.71,378,20,0.68,26,1.37,9.95,27,38,2.71,51,103,1,1.21,1,38,3420,23.7,21,8,1.47,0,1,90,56,191,0.7070000000000001,38,9,9,2017
Tottenham Hotspur,2,3.18,1.84,383,51,1.79,25,1.39,10.08,70,38,5.71,51,217,2,3.13,3,38,3420,42.1,7,23,0.95,0,3,90,36,125,0.7120000000000001,38,8,16,2017
Watford,3,1.82,1.11,440,27,1.03,29,1.79,11.58,42,38,3.53,64,134,4,1.74,6,38,3420,23.7,19,11,1.68,1,2,88,64,159,0.597,39,8,9,2017
West Bromwich Albion,1,1.45,0.82,440,24,0.79,24,1.95,11.58,31,38,3.05,73,116,1,1.42,1,38,3420,26.3,19,6,1.47,0,2,90,56,156,0.6409999999999999,38,13,10,2017
West Ham United,2,2.03,1.26,378,29,1.21,27,2.0,9.95,48,38,3.45,74,131,2,1.97,4,38,3420,26.3,16,10,1.79,0,2,90,68,190,0.642,38,12,10,2017
