squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,6,3.5,2.08,539,54,1.92,25,2.18,14.18,79,38,7.68,77,292,6,3.34,7,38,3420,36.8,3,26,0.95,1,3,88,36,178,0.7979999999999999,39,9,14,2001
Aston Villa,2,2.16,1.16,485,38,1.11,21,1.08,12.76,44,38,5.32,41,202,0,2.11,2,38,3420,21.1,12,12,1.24,0,2,90,47,193,0.7559999999999999,38,14,8,2001
Blackburn Rovers,1,2.45,1.42,533,39,1.39,24,1.58,14.03,54,38,6.66,56,253,4,2.42,1,38,3420,21.1,16,12,1.34,0,2,90,51,250,0.7959999999999999,38,10,8,2001
Bolton Wanderers,0,1.76,1.11,506,25,1.11,28,1.66,13.32,42,38,5.39,57,205,6,1.76,1,38,3448,18.4,16,9,1.7,2,5,86,65,252,0.742,40,13,7,2001
Charlton Athletic,0,1.61,0.95,500,25,0.95,25,1.63,13.16,36,38,5.58,59,212,3,1.61,1,38,3420,31.6,14,10,1.29,0,1,90,49,223,0.78,38,14,12,2001
Chelsea,3,2.84,1.71,438,43,1.63,24,1.71,11.53,65,38,6.24,63,237,2,2.76,3,38,3510,39.5,8,17,0.97,1,3,90,38,192,0.802,39,13,15,2001
Derby County,2,1.47,0.87,498,23,0.82,29,1.92,13.11,33,38,4.29,71,163,2,1.42,5,38,3410,15.8,24,8,1.66,1,3,87,63,248,0.746,39,6,6,2001
Everton,3,1.97,1.16,584,31,1.08,27,1.61,15.37,44,38,5.61,57,213,4,1.89,3,38,3420,28.9,17,11,1.5,0,2,90,57,241,0.763,38,10,11,2001
Fulham,1,1.66,0.92,452,28,0.89,23,1.42,11.89,35,38,4.74,53,180,1,1.63,3,38,3420,39.5,14,10,1.16,1,2,88,44,207,0.787,39,14,15,2001
Ipswich Town,1,1.92,1.08,471,32,1.05,25,1.16,12.39,41,38,6.08,43,231,1,1.89,3,34,3150,23.5,20,9,1.83,1,3,90,64,224,0.7140000000000001,35,9,8,2001
Leeds United,1,2.63,1.42,583,46,1.39,21,2.08,15.34,54,38,7.03,74,267,5,2.61,2,38,3420,47.4,8,18,0.97,0,1,90,37,195,0.81,38,12,18,2001
Leicester City,2,1.32,0.76,558,21,0.71,28,2.05,14.68,29,38,4.39,75,167,3,1.26,4,38,3420,18.4,20,5,1.68,1,2,88,64,242,0.736,39,13,7,2001
Liverpool,1,2.97,1.66,439,51,1.61,24,1.16,11.55,63,38,6.89,42,262,3,2.95,3,37,3330,48.6,6,24,0.81,1,3,88,30,156,0.8079999999999999,38,8,18,2001
Manchester United,5,3.61,2.13,426,56,2.0,26,1.42,11.21,81,38,7.61,53,289,1,3.47,5,38,3440,34.2,9,24,1.15,1,2,88,44,168,0.738,39,5,13,2001
Middlesbrough,2,1.42,0.87,470,21,0.82,29,1.55,12.37,33,38,3.74,51,142,8,1.37,3,38,3399,31.6,17,12,1.24,2,3,85,47,249,0.8109999999999999,40,9,12,2001
Newcastle United,5,3.29,1.89,497,53,1.76,19,1.24,13.08,72,38,6.97,45,265,2,3.16,7,38,3420,23.7,9,21,1.37,0,1,90,52,225,0.769,38,8,9,2001
Southampton,4,1.89,1.11,466,30,1.0,27,0.95,12.26,42,38,4.42,33,168,3,1.79,4,38,3420,23.7,17,12,1.42,0,2,90,54,204,0.735,38,9,9,2001
Sunderland,1,1.26,0.76,509,19,0.74,25,1.76,13.39,29,38,5.0,66,190,1,1.24,3,38,3420,28.9,18,10,1.34,0,2,90,51,229,0.777,38,10,11,2001
Tottenham Hotspur,3,2.13,1.26,465,33,1.18,24,1.58,12.24,48,38,5.58,56,212,4,2.05,3,38,3420,21.1,16,14,1.39,0,2,90,53,199,0.7340000000000001,38,8,8,2001
West Ham United,4,2.16,1.26,497,34,1.16,27,1.84,13.08,48,38,5.53,67,210,3,2.05,5,38,3420,34.2,15,15,1.5,0,2,90,57,215,0.735,38,8,13,2001
