,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,3,3.16,1.87,517,49,1.79,24,1.89,13.61,71,38,7.42,67,282,5,3.08,5
1,Aston Villa,3,2.34,1.26,538,41,1.18,24,1.74,14.16,48,38,4.21,65,160,1,2.26,5
2,Bradford City,5,1.53,0.97,519,21,0.84,25,1.45,13.66,37,38,3.95,54,150,1,1.39,5
3,Chelsea,1,2.45,1.26,622,45,1.24,27,1.82,16.37,48,38,5.18,64,197,5,2.42,1
4,Coventry City,5,2.05,1.21,467,32,1.08,27,1.45,12.29,46,38,4.76,53,181,2,1.92,5
5,Derby County,2,1.84,1.11,550,28,1.05,29,2.32,14.47,42,38,4.21,84,160,4,1.79,4
6,Everton,6,2.79,1.53,614,48,1.37,28,1.92,16.16,58,38,4.61,67,175,6,2.63,7
7,Leeds United,4,2.45,1.50,613,36,1.39,20,2.05,16.13,57,38,5.82,75,221,3,2.34,6
8,Leicester City,3,2.11,1.39,398,34,1.13,24,1.13,10.47,53,38,3.63,41,138,2,2.03,3
9,Liverpool,3,2.03,1.32,511,30,1.16,23,1.55,13.45,50,38,5.76,59,219,4,1.95,5
10,Manchester United,3,4.29,2.47,409,69,2.39,29,1.18,10.76,94,38,6.68,41,254,4,4.21,5
11,Middlesbrough,6,1.84,1.16,583,26,1.00,27,2.16,15.34,44,38,4.63,79,176,3,1.68,9
12,Newcastle United,6,2.71,1.58,539,43,1.42,32,1.37,14.18,60,38,5.13,49,195,3,2.55,6
13,Sheffield Wednesday,3,1.53,0.89,439,24,0.82,23,1.13,11.55,34,38,4.13,42,157,1,1.45,4
14,Southampton,1,1.95,1.11,522,32,1.08,28,1.68,13.74,42,38,4.97,59,189,5,1.92,1
15,Sunderland,6,2.53,1.50,606,39,1.34,25,2.11,15.95,57,38,4.87,76,185,4,2.37,8
16,Tottenham Hotspur,1,2.50,1.45,533,40,1.42,27,2.24,14.03,55,38,5.45,84,207,1,2.47,1
17,Watford,2,1.66,0.92,557,28,0.87,31,1.97,14.66,35,38,4.55,71,173,4,1.61,2
18,West Ham United,2,2.45,1.34,558,42,1.29,26,2.05,14.68,51,38,5.79,70,220,8,2.39,2
19,Wimbledon,1,2.03,1.16,508,33,1.13,26,1.47,13.37,44,38,3.84,52,146,4,2.00,1
