squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,4,3.37,1.92,394,55,1.82,29,1.87,10.37,73,38,5.29,68,201,3,3.26,6,38,3420,34.2,9,23,1.16,1,3,88,44,167,0.737,39,6,13,2016
Bournemouth,7,2.26,1.39,372,33,1.21,27,1.5,9.79,53,38,4.21,54,160,3,2.08,10,38,3420,26.3,16,12,1.76,0,3,90,67,189,0.6459999999999999,38,10,10,2016
Burnley,6,1.66,1.03,428,24,0.87,27,1.79,11.26,39,38,3.18,66,121,2,1.5,6,38,3420,26.3,20,11,1.45,0,2,90,55,208,0.736,38,7,10,2016
Chelsea,2,3.58,2.18,394,53,2.13,24,1.89,10.37,83,38,5.39,72,205,0,3.53,4,38,3420,42.1,5,30,0.87,0,2,90,33,105,0.6859999999999999,38,3,16,2016
Crystal Palace,4,2.11,1.26,471,32,1.16,31,2.03,12.39,48,38,3.61,77,137,0,2.0,7,38,3420,18.4,21,12,1.66,0,2,90,63,177,0.644,38,5,7,2016
Everton,3,2.71,1.53,457,45,1.45,27,1.97,12.03,58,38,5.05,73,192,2,2.63,4,38,3420,34.2,11,17,1.16,1,2,88,44,148,0.703,39,10,13,2016
Hull City,3,1.58,0.95,403,24,0.87,28,1.89,10.61,36,38,3.32,67,126,5,1.5,3,38,3420,13.2,22,9,2.11,0,2,90,80,214,0.626,38,7,5,2016
Leicester City,4,2.05,1.21,447,32,1.11,25,1.92,11.76,46,38,3.82,72,145,1,1.95,6,38,3420,23.7,18,12,1.66,1,2,88,63,191,0.67,39,8,9,2016
Liverpool,7,3.39,2.03,396,52,1.84,23,1.42,10.42,77,38,6.21,54,236,0,3.21,8,38,3420,31.6,6,22,1.11,0,2,90,42,114,0.632,38,10,12,2016
Manchester City,7,3.39,1.97,395,54,1.79,25,1.97,10.39,75,38,5.66,71,215,4,3.21,9,38,3420,28.9,6,23,1.03,1,2,88,39,105,0.629,39,9,11,2016
Manchester United,3,2.39,1.42,498,37,1.34,31,2.13,13.11,54,38,5.45,79,207,2,2.32,4,38,3420,44.7,5,18,0.76,0,3,90,29,116,0.75,38,15,17,2016
Middlesbrough,2,1.26,0.68,480,22,0.63,27,2.08,12.63,26,38,2.58,78,98,1,1.21,2,38,3420,28.9,20,5,1.39,0,2,90,53,171,0.69,38,13,11,2016
Southampton,3,1.74,1.03,426,27,0.95,26,1.63,11.21,39,38,4.71,60,179,2,1.66,6,38,3420,36.8,16,12,1.26,0,1,90,48,130,0.631,38,10,14,2016
Stoke City,4,1.61,0.97,434,24,0.87,26,1.92,11.42,37,38,3.55,71,135,2,1.5,6,38,3420,28.9,16,11,1.47,0,3,90,56,180,0.6890000000000001,38,11,11,2016
Sunderland,5,1.03,0.74,437,11,0.61,31,2.24,11.5,28,38,3.21,81,122,4,0.89,5,38,3420,15.8,26,6,1.82,0,2,90,69,248,0.722,38,6,6,2016
Swansea City,3,2.0,1.18,399,31,1.11,27,1.47,10.5,45,38,3.82,56,145,0,1.92,3,38,3420,21.1,21,12,1.84,0,2,90,70,179,0.609,38,5,8,2016
Tottenham Hotspur,7,3.76,2.21,431,59,2.03,24,1.63,11.34,84,38,6.76,62,257,0,3.58,9,38,3420,44.7,4,26,0.68,1,2,88,26,110,0.764,39,8,17,2016
Watford,3,1.74,1.03,514,27,0.95,33,2.42,13.53,39,38,3.76,87,143,5,1.66,3,38,3420,15.8,20,11,1.79,2,2,86,68,187,0.636,40,7,6,2016
West Bromwich Albion,1,2.0,1.13,448,33,1.11,23,2.11,11.79,43,38,3.26,80,124,0,1.97,1,38,3420,15.8,17,12,1.34,0,1,90,51,161,0.6829999999999999,38,9,6,2016
West Ham United,3,1.95,1.21,408,28,1.13,29,2.29,10.74,46,38,3.58,82,136,5,1.87,4,38,3420,26.3,17,12,1.68,0,2,90,64,182,0.648,38,9,10,2016
