,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,37,"3,330",43.2,7,23,1.11,0,1,90,41,147,.721,37,7,16
1,Aston Villa,38,"3,420",23.7,20,10,1.61,0,1,90,61,174,.649,38,8,9
2,Cardiff City,38,"3,420",18.4,22,7,1.95,0,2,90,74,220,.664,38,9,7
3,Chelsea,38,"3,420",47.4,6,25,0.71,0,2,90,27,121,.777,38,7,18
4,Crystal Palace,38,"3,420",31.6,19,13,1.26,0,2,90,48,169,.716,38,6,12
5,Everton,38,"3,420",39.5,8,21,1.03,1,2,88,39,148,.736,39,9,15
6,Fulham,38,"3,420",10.5,24,9,2.24,2,2,86,85,241,.647,40,5,4
7,Hull City,38,"3,419",26.3,21,10,1.40,2,3,85,53,164,.677,40,7,10
8,Liverpool,38,"3,420",26.3,6,26,1.32,0,1,90,50,152,.671,38,6,10
9,Manchester City,38,"3,420",42.1,6,27,0.97,0,2,90,37,126,.706,38,5,16
10,Manchester United,38,"3,420",34.2,12,19,1.13,0,2,90,43,143,.699,38,7,13
11,Newcastle United,38,"3,420",26.3,19,15,1.55,0,2,90,59,170,.653,38,4,10
12,Norwich City,38,"3,420",31.6,21,8,1.63,0,1,90,62,189,.672,38,9,12
13,Southampton,38,"3,420",39.5,12,15,1.21,1,3,88,46,132,.652,39,11,15
14,Stoke City,38,"3,420",23.7,14,13,1.37,1,3,88,52,173,.699,39,11,9
15,Sunderland,38,"3,420",28.9,20,10,1.58,1,2,88,60,217,.724,39,8,11
16,Swansea City,38,"3,420",21.1,18,11,1.42,0,2,90,54,155,.652,38,9,8
17,Tottenham Hotspur,38,"3,420",36.8,11,21,1.34,0,2,90,51,152,.664,38,6,14
18,West Bromwich Albion,38,"3,420",15.8,16,7,1.55,1,3,88,59,174,.661,39,15,6
19,West Ham United,38,"3,420",36.8,20,11,1.34,0,2,90,51,193,.736,38,7,14
