,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",34.2,9,23,1.16,1,3,88,44,167,.737,39,6,13
1,Bournemouth,38,"3,420",26.3,16,12,1.76,0,3,90,67,189,.646,38,10,10
2,Burnley,38,"3,420",26.3,20,11,1.45,0,2,90,55,208,.736,38,7,10
3,Chelsea,38,"3,420",42.1,5,30,0.87,0,2,90,33,105,.686,38,3,16
4,Crystal Palace,38,"3,420",18.4,21,12,1.66,0,2,90,63,177,.644,38,5,7
5,Everton,38,"3,420",34.2,11,17,1.16,1,2,88,44,148,.703,39,10,13
6,Hull City,38,"3,420",13.2,22,9,2.11,0,2,90,80,214,.626,38,7,5
7,Leicester City,38,"3,420",23.7,18,12,1.66,1,2,88,63,191,.670,39,8,9
8,Liverpool,38,"3,420",31.6,6,22,1.11,0,2,90,42,114,.632,38,10,12
9,Manchester City,38,"3,420",28.9,6,23,1.03,1,2,88,39,105,.629,39,9,11
10,Manchester United,38,"3,420",44.7,5,18,0.76,0,3,90,29,116,.750,38,15,17
11,Middlesbrough,38,"3,420",28.9,20,5,1.39,0,2,90,53,171,.690,38,13,11
12,Southampton,38,"3,420",36.8,16,12,1.26,0,1,90,48,130,.631,38,10,14
13,Stoke City,38,"3,420",28.9,16,11,1.47,0,3,90,56,180,.689,38,11,11
14,Sunderland,38,"3,420",15.8,26,6,1.82,0,2,90,69,248,.722,38,6,6
15,Swansea City,38,"3,420",21.1,21,12,1.84,0,2,90,70,179,.609,38,5,8
16,Tottenham Hotspur,38,"3,420",44.7,4,26,0.68,1,2,88,26,110,.764,39,8,17
17,Watford,38,"3,420",15.8,20,11,1.79,2,2,86,68,187,.636,40,7,6
18,West Bromwich Albion,38,"3,420",15.8,17,12,1.34,0,1,90,51,161,.683,38,9,6
19,West Ham United,38,"3,420",26.3,17,12,1.68,0,2,90,64,182,.648,38,9,10
