squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,10,2.84,1.58,367,48,1.32,24,1.61,9.66,60,38,6.55,58,249,3,2.58,11,38,3420,31.6,8,19,0.92,0,3,90,35,177,0.802,38,11,12,2006
Aston Villa,6,2.0,1.18,541,31,1.03,29,1.34,14.24,45,38,6.0,50,228,1,1.84,8,38,3420,34.2,10,11,1.08,2,3,86,41,207,0.802,40,17,13,2006
Blackburn Rovers,5,2.16,1.29,497,33,1.16,27,2.08,13.08,49,38,5.55,73,211,6,2.03,7,38,3420,21.1,16,15,1.42,1,2,88,54,277,0.805,39,7,8,2006
Bolton Wanderers,6,2.11,1.18,528,35,1.03,22,2.37,13.89,45,38,5.13,86,195,4,1.95,7,38,3420,31.6,14,16,1.37,0,1,90,52,216,0.759,38,8,12,2006
Charlton Athletic,4,1.42,0.84,443,22,0.74,28,1.79,11.66,32,38,4.53,64,172,4,1.32,4,38,3420,28.9,20,8,1.58,0,3,90,60,247,0.757,38,10,11,2006
Chelsea,3,2.82,1.53,437,49,1.45,25,1.79,11.5,58,38,6.18,64,235,4,2.74,4,38,3335,57.9,3,24,0.65,0,3,88,24,175,0.863,38,11,22,2006
Everton,8,2.24,1.32,523,35,1.11,24,1.74,13.76,50,38,5.26,65,200,1,2.03,8,38,3420,36.8,10,15,0.95,0,3,90,36,221,0.8370000000000001,38,13,14,2006
Fulham,3,1.66,0.95,459,27,0.87,24,1.61,12.08,36,38,4.66,58,177,3,1.58,3,38,3420,18.4,15,8,1.58,1,2,88,60,237,0.747,39,15,7,2006
Liverpool,6,2.63,1.47,446,44,1.32,27,1.16,11.74,56,38,6.55,44,249,0,2.47,7,38,3420,52.6,10,20,0.71,0,3,90,27,173,0.8440000000000001,38,8,20,2006
Manchester City,2,1.29,0.74,493,21,0.68,26,1.5,12.97,28,38,4.71,53,179,4,1.24,4,38,3420,36.8,18,11,1.16,2,3,86,44,199,0.779,40,9,14,2006
Manchester United,5,3.68,2.11,426,60,1.97,25,1.53,11.21,80,38,7.89,57,300,1,3.55,6,38,3420,42.1,5,28,0.71,0,2,90,27,176,0.847,38,5,16,2006
Middlesbrough,4,2.0,1.13,489,33,1.03,26,1.76,12.87,43,38,4.45,65,169,2,1.89,5,38,3420,23.7,16,12,1.29,0,2,90,49,234,0.7909999999999999,38,10,9,2006
Newcastle United,5,1.68,1.0,461,26,0.87,29,1.82,12.13,38,38,4.79,68,182,1,1.55,5,38,3416,18.4,17,11,1.24,3,3,83,47,224,0.79,41,10,7,2006
Portsmouth,2,1.87,1.05,505,31,1.0,22,1.29,13.29,40,38,5.13,47,195,2,1.82,3,38,3420,31.6,13,13,1.11,0,1,90,42,214,0.804,38,12,12,2006
Reading,3,2.26,1.26,400,38,1.18,23,1.13,10.53,48,38,4.39,40,167,3,2.18,3,38,3420,34.2,15,16,1.24,2,2,86,47,223,0.789,40,7,13,2006
Sheffield United,2,1.37,0.82,438,21,0.76,29,1.79,11.53,31,38,5.08,66,193,2,1.32,4,38,3392,23.7,20,10,1.46,0,3,89,55,235,0.7659999999999999,38,8,9,2006
Tottenham Hotspur,5,2.39,1.42,410,37,1.29,25,1.26,10.79,54,38,5.63,45,214,3,2.26,5,38,3420,15.8,12,17,1.42,0,1,90,54,196,0.7240000000000001,38,9,6,2006
Watford,3,1.11,0.63,517,18,0.55,28,1.26,13.61,24,38,3.79,46,144,2,1.03,3,38,3419,23.7,20,5,1.55,1,2,88,59,272,0.7829999999999999,39,13,9,2006
West Ham United,1,1.61,0.95,573,25,0.92,26,2.58,15.08,36,38,4.03,94,153,4,1.58,3,38,3420,23.7,21,12,1.55,0,2,90,59,239,0.753,38,5,9,2006
Wigan Athletic,3,1.61,0.97,510,24,0.89,23,2.11,13.42,37,38,4.95,76,188,4,1.53,6,38,3420,26.3,20,10,1.58,1,3,88,60,236,0.746,39,8,10,2006
