squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,3,2.21,1.29,,35,1.21,23,1.66,,49,38,5.26,61,200,2,2.13,5,38,3420,42.1,9,17,0.84,0,1,90,32,157,0.7959999999999999,38,12,16,1995
Aston Villa,2,2.26,1.29,,37,1.24,22,1.26,,49,38,4.55,46,173,2,2.21,2,38,3420,34.2,11,19,0.92,2,2,86,35,153,0.7709999999999999,40,8,13,1995
Blackburn Rovers,3,2.76,1.58,,45,1.5,25,1.97,,60,38,5.79,70,220,5,2.68,3,38,3420,26.3,13,18,1.24,1,2,88,47,161,0.708,39,7,10,1995
Bolton Wanderers,3,1.74,1.03,,27,0.95,23,1.74,,39,38,4.37,64,166,2,1.66,3,38,3420,10.5,25,8,1.87,0,3,90,71,216,0.6709999999999999,38,5,4,1995
Chelsea,3,2.08,1.18,,34,1.11,22,2.0,,45,38,4.58,74,174,2,2.0,4,38,3420,31.6,12,12,1.16,0,2,90,44,172,0.7440000000000001,38,14,12,1995
Coventry City,1,1.92,1.11,,31,1.08,26,1.63,,42,38,4.82,60,183,2,1.89,2,38,3420,26.3,16,8,1.58,0,2,90,60,205,0.7070000000000001,38,14,10,1995
Everton,4,2.84,1.66,,45,1.55,23,1.84,,63,38,4.97,67,189,3,2.74,4,38,3420,39.5,11,17,1.16,0,1,90,44,169,0.74,38,10,15,1995
Leeds United,2,1.74,1.0,,28,0.95,28,1.63,,38,38,4.89,57,186,5,1.68,3,38,3446,26.3,20,12,1.51,4,4,82,58,202,0.713,42,7,10,1995
Liverpool,1,3.21,1.79,,54,1.68,18,1.03,,68,38,6.37,40,242,0,2.97,1,38,3420,42.1,7,20,0.89,0,1,90,34,166,0.795,38,11,16,1995
Manchester City,1,1.55,0.87,,26,0.84,24,1.66,,33,38,4.37,57,166,6,1.53,2,38,3420,21.1,18,9,1.53,0,1,90,58,203,0.7140000000000001,38,11,8,1995
Manchester United,4,3.53,1.89,,62,1.79,21,1.45,,72,38,5.66,52,215,3,3.42,4,38,3420,47.4,6,25,0.92,1,2,88,35,154,0.773,39,7,18,1995
Middlesbrough,3,1.61,0.89,,27,0.82,28,1.87,,34,38,4.03,68,153,3,1.53,4,38,3420,26.3,17,11,1.32,0,2,90,50,187,0.733,38,10,10,1995
Newcastle United,3,3.21,1.79,,54,1.71,18,1.32,,68,38,5.66,50,215,0,3.13,4,37,3320,35.1,8,24,1.0,1,2,87,37,160,0.769,38,6,13,1995
Nottingham Forest,3,2.18,1.26,,35,1.18,19,1.26,,48,38,4.82,46,183,2,2.11,3,38,3420,21.1,10,15,1.42,0,1,90,54,173,0.688,38,13,8,1995
Queens Park Rangers,0,1.84,0.97,,33,0.97,25,1.95,,37,38,4.0,70,152,4,1.82,1,38,3420,13.2,23,9,1.5,0,2,90,57,208,0.726,38,6,5,1995
Sheffield Wednesday,4,2.24,1.26,,37,1.16,25,0.82,,48,38,4.84,29,184,2,2.13,4,38,3420,15.8,18,10,1.61,1,3,88,61,208,0.7070000000000001,39,10,6,1995
Southampton,4,1.42,0.87,,21,0.76,23,1.66,,33,38,4.0,61,152,2,1.32,4,38,3420,26.3,18,9,1.37,0,2,90,52,192,0.7290000000000001,38,11,10,1995
Tottenham Hotspur,2,2.24,1.24,,38,1.18,21,1.45,,47,38,4.76,55,181,0,2.18,2,38,3420,28.9,9,16,1.0,0,1,90,38,164,0.768,38,13,11,1995
West Ham United,5,1.89,1.13,,29,1.0,27,1.45,,43,38,5.13,51,195,4,1.76,6,38,3434,28.9,15,14,1.36,1,4,88,52,171,0.696,39,9,11,1995
Wimbledon,2,2.45,1.42,,39,1.37,29,1.87,,54,38,4.84,63,184,8,2.39,2,38,3420,15.8,17,10,1.84,2,5,86,70,222,0.685,40,11,6,1995
