squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,8,2.5,1.55,,36,1.34,20,1.84,,59,38,6.29,67,239,3,2.29,8,38,3420,42.1,8,19,0.84,0,3,90,32,156,0.795,38,11,16,1996
Aston Villa,4,2.05,1.21,,32,1.11,18,1.32,,46,38,5.71,50,217,0,1.95,5,38,3420,39.5,12,17,0.89,0,2,90,34,163,0.7909999999999999,38,10,15,1996
Blackburn Rovers,2,2.05,1.11,,36,1.05,22,1.82,,42,38,4.37,68,166,1,2.0,3,38,3420,28.9,14,9,1.13,0,2,90,43,183,0.765,38,15,11,1996
Chelsea,4,2.71,1.47,,47,1.37,24,2.13,,56,38,5.66,80,215,1,2.61,5,36,3510,25.0,11,16,1.44,3,4,90,56,202,0.723,39,10,9,1996
Coventry City,3,1.71,0.95,,29,0.87,19,1.74,,36,38,4.82,62,183,4,1.63,3,38,3420,23.7,15,9,1.42,0,1,90,54,216,0.75,38,14,9,1996
Derby County,3,2.0,1.11,,34,1.03,23,1.61,,42,38,5.11,60,194,1,1.92,4,38,3442,21.1,13,11,1.44,1,3,88,55,199,0.7240000000000001,39,14,8,1996
Everton,4,2.13,1.18,,36,1.08,22,1.63,,45,38,5.55,60,211,2,2.03,6,38,3485,26.3,16,10,1.47,1,2,89,57,198,0.7120000000000001,39,12,10,1996
Leeds United,0,1.29,0.71,,22,0.71,23,2.26,,27,38,4.42,85,168,1,1.29,1,38,3420,52.6,14,11,1.0,0,2,90,38,181,0.79,38,13,20,1996
Leicester City,3,1.92,1.16,,29,1.08,22,1.79,,44,38,5.08,67,193,1,1.84,6,38,3420,23.7,15,12,1.42,0,2,90,54,203,0.7340000000000001,38,11,9,1996
Liverpool,2,2.79,1.53,,48,1.39,17,1.21,,58,38,6.08,45,231,1,2.58,3,38,3420,31.6,8,19,0.97,0,1,90,37,198,0.813,38,11,12,1996
Manchester United,4,3.08,1.84,,47,1.74,19,1.89,,70,38,6.29,71,239,1,2.97,6,38,3420,39.5,5,21,1.16,0,2,90,44,175,0.7490000000000001,38,12,15,1996
Middlesbrough,5,2.08,1.32,,29,1.18,23,2.37,,50,38,7.08,87,269,3,1.95,8,38,3460,15.8,16,10,1.56,1,4,89,60,225,0.733,39,12,6,1996
Newcastle United,5,3.16,1.89,,48,1.76,17,1.79,,72,38,6.76,67,257,1,3.03,7,38,3420,31.6,8,19,1.05,0,2,90,40,188,0.787,38,11,12,1996
Nottingham Forest,2,1.39,0.82,,22,0.76,25,1.84,,31,38,4.87,70,185,0,1.34,3,42,3780,21.4,17,6,1.6,0,4,90,67,225,0.7020000000000001,42,19,9,1996
Sheffield Wednesday,2,2.08,1.32,,29,1.26,20,1.53,,50,38,4.76,56,181,2,2.03,4,38,3420,26.3,9,14,1.34,0,1,90,51,216,0.764,38,15,10,1996
Southampton,6,2.21,1.24,,37,1.08,27,2.03,,47,38,5.29,73,201,4,2.05,7,39,3584,28.2,17,11,1.43,1,4,90,57,218,0.7390000000000001,40,12,11,1996
Sunderland,4,1.42,0.84,,22,0.74,19,1.26,,32,38,4.39,43,167,5,1.32,6,38,3488,28.9,18,10,1.37,1,2,89,53,212,0.75,39,10,11,1996
Tottenham Hotspur,2,1.97,1.13,,32,1.08,22,1.82,,43,38,5.03,68,191,1,1.92,3,38,3510,34.2,18,13,1.31,1,2,90,51,214,0.762,39,7,13,1996
West Ham United,5,1.97,1.05,,35,0.92,26,2.13,,40,38,5.76,78,219,3,1.84,6,38,3465,26.3,16,10,1.25,1,3,89,48,211,0.773,39,12,10,1996
Wimbledon,0,2.21,1.26,,36,1.26,22,1.37,,48,38,5.5,51,209,1,2.21,1,38,3480,28.9,12,15,1.19,1,2,89,46,212,0.7829999999999999,39,11,11,1996
