,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,3,4.05,2.26,441,68,2.18,24,1.24,11.61,86,38,7.92,46,301,1,3.97,4
1,Aston Villa,3,2.03,1.13,583,34,1.05,21,1.50,15.34,43,38,5.61,55,213,2,1.95,6
2,Birmingham City,2,1.50,0.97,492,24,0.82,25,1.68,12.95,37,38,4.16,61,158,3,1.45,2
3,Blackburn Rovers,2,1.45,0.82,554,24,0.76,27,2.05,14.58,31,38,5.16,73,196,5,1.39,3
4,Bolton Wanderers,5,2.16,1.29,538,33,1.16,24,1.58,14.16,49,38,6.84,58,260,2,2.03,6
5,Charlton Athletic,0,1.82,1.08,450,28,1.08,21,1.03,11.84,41,38,4.50,35,171,4,1.82,0
6,Chelsea,5,3.39,1.87,479,58,1.74,27,1.42,12.61,71,38,8.16,54,310,0,3.26,6
7,Crystal Palace,10,1.82,1.13,539,26,0.87,26,1.61,14.18,43,38,5.03,58,191,3,1.55,12
8,Everton,2,2.08,1.18,508,34,1.13,21,1.55,13.37,45,38,4.55,55,173,4,2.03,3
9,Fulham,2,2.39,1.37,477,39,1.32,24,1.66,12.55,52,38,4.92,56,187,7,2.34,4
10,Liverpool,3,2.39,1.29,430,42,1.21,28,1.24,11.32,49,38,6.45,45,245,2,2.32,5
11,Manchester City,5,2.05,1.18,475,33,1.05,24,1.24,12.50,45,38,5.61,44,213,3,1.92,6
12,Manchester United,3,2.68,1.50,477,45,1.42,24,1.61,12.55,57,38,8.87,56,337,5,2.61,4
13,Middlesbrough,1,2.32,1.29,474,39,1.26,27,1.47,12.47,49,38,6.37,54,242,2,2.29,1
14,Newcastle United,3,2.00,1.16,526,32,1.08,26,1.87,13.84,44,38,6.32,65,240,6,1.92,3
15,Norwich City,3,1.84,1.08,534,29,1.00,25,1.08,14.05,41,38,4.82,39,183,2,1.76,4
16,Portsmouth,6,1.87,1.08,393,30,0.92,23,1.21,10.34,41,38,4.55,45,173,1,1.71,6
17,Southampton,3,1.92,1.16,431,30,1.05,28,1.11,11.34,44,38,4.55,45,173,2,1.84,3
18,Tottenham Hotspur,1,2.08,1.24,424,32,1.21,27,1.32,11.16,47,38,6.37,49,242,1,2.05,1
19,West Bromwich Albion,2,1.55,0.89,512,25,0.84,26,1.21,13.47,34,38,5.03,41,191,5,1.50,3
