,games_starts,losses,minutes_per_game,save_perc,nationality,player,position,age,clean_sheets_perc,wins,goals_against_per90,games_subs,goals_against,shots_on_target_against,games,clean_sheets,minutes,draws,squad
0,38,9,90,.777,cz CZE,Petr Čech,GK,28,39.5,21,0.87,0,33,148,38,15,"3,420",8,Chelsea
1,38,14,90,.688,us USA,Brad Friedel,GK,39,18.4,12,1.55,0,59,189,38,7,"3,420",12,Aston Villa
2,38,10,90,.706,us USA,Tim Howard,GK,31,23.7,13,1.18,0,45,153,38,9,"3,420",15,Everton
3,38,9,90,.784,eng ENG,Joe Hart,GK,23,47.4,21,0.87,0,33,153,38,18,"3,420",8,Manchester City
4,38,14,90,.705,es ESP,Pepe Reina,GK,27,36.8,17,1.16,0,44,149,38,14,"3,420",7,Liverpool
5,38,14,89,.780,eng ENG,Ben Foster,GK,27,23.7,8,1.47,0,55,250,38,9,"3,369",15,Birmingham City
6,37,19,90,.713,eng ENG,Robert Green,GK,30,13.5,7,1.86,0,69,240,37,5,"3,330",11,West Ham United
7,36,16,89,.694,eng ENG,Paul Robinson,GK,30,22.2,9,1.55,0,55,180,36,8,"3,195",10,Blackburn Rovers
8,35,14,88,.713,fi FIN,Jussi Jääskeläinen,GK,35,14.3,12,1.45,0,50,174,35,5,"3,097",8,Bolton Wanderers
9,34,12,90,.715,om OMA,Ali Al-Habsi,GK,28,20.6,9,1.44,0,49,172,34,7,"3,060",14,Wigan Athletic
10,33,4,90,.744,nl NED,Edwin van der Sar,GK,39,42.4,19,0.97,0,32,125,33,14,"2,970",10,Manchester United
11,32,13,90,.616,eng ENG,Scott Carson,GK,24,6.3,11,1.81,0,58,151,32,2,"2,880",8,West Bromwich Albion
12,31,10,90,.739,au AUS,Mark Schwarzer,GK,37,35.5,9,1.19,0,37,142,31,11,"2,790",12,Fulham
13,30,5,90,.750,br BRA,Heurelho Gomes,GK,29,23.3,13,1.30,0,39,156,30,7,"2,700",12,Tottenham Hotspur
14,28,12,90,.754,ba BIH,Asmir Begović,GK,23,28.6,10,1.14,0,32,130,28,8,"2,520",6,Stoke City
15,24,11,90,.677,wal WAL,Wayne Hennessey,GK,23,20.8,9,1.71,0,41,127,24,5,"2,160",4,Wolverhampton Wanderers
16,23,9,90,.720,be BEL,Simon Mignolet,GK,22,34.8,6,1.52,0,35,125,23,8,"2,070",8,Sunderland
17,20,8,88,.624,nl NED,Tim Krul,GK,22,20.0,6,1.70,1,35,93,21,4,"1,856",7,Newcastle United
18,19,10,85,.681,gh GHA,Richard Kingson,GK,32,15.8,5,2.02,1,38,119,20,3,"1,695",4,Blackpool
19,18,7,88,.653,sco SCO,Matt Gilks,GK,28,16.7,5,2.00,0,35,101,18,3,"1,575",5,Blackpool
20,18,6,87,.676,eng ENG,Steve Harper,GK,35,22.2,5,1.27,0,22,68,18,4,"1,564",6,Newcastle United
21,15,4,90,.708,pl POL,Wojciech Szczęsny,GK,20,40.0,6,1.27,0,19,65,15,6,"1,350",5,Arsenal
22,15,6,90,.741,sco SCO,Craig Gordon,GK,27,33.3,6,1.40,0,21,81,15,5,"1,350",3,Sunderland
23,14,3,90,.731,pl POL,Łukasz Fabiański,GK,25,35.7,9,1.00,0,14,52,14,5,"1,260",2,Arsenal
24,14,9,90,.653,us USA,Marcus Hahnemann,GK,38,0.0,2,1.79,0,25,72,14,0,"1,260",3,Wolverhampton Wanderers
25,10,6,90,.652,dk DEN,Thomas Sørensen,GK,34,10.0,3,1.60,0,16,46,10,1,900,1,Stoke City
26,8,1,90,.655,es ESP,Manuel Almunia,GK,33,25.0,4,1.25,0,10,29,8,2,720,3,Arsenal
27,8,3,90,.741,it ITA,Carlo Cudicini,GK,36,12.5,3,0.87,0,7,27,8,1,720,2,Tottenham Hotspur
28,7,1,90,.793,eng ENG,David Stockdale,GK,24,42.9,2,0.86,0,6,29,7,3,630,4,Fulham
29,6,2,90,.581,wal WAL,Boaz Myhill,GK,27,0.0,1,2.17,0,13,31,6,0,540,3,West Bromwich Albion
30,5,0,90,.643,pl POL,Tomasz Kuszczak,GK,28,20.0,4,1.00,0,5,14,5,1,450,1,Manchester United
31,4,2,83,.455,eng ENG,Chris Kirkland,GK,29,0.0,0,3.26,0,12,22,4,0,331,1,Wigan Athletic
32,3,2,81,.684,hu HUN,Ádám Bogdán,GK,22,0.0,0,1.67,1,6,19,4,0,323,2,Bolton Wanderers
33,2,1,75,.714,eng ENG,Mark Bunn,GK,25,0.0,2,1.60,1,4,14,3,0,225,0,Blackburn Rovers
34,1,2,63,.563,eng ENG,Paul Rachubka,GK,29,0.0,0,5.04,1,7,16,2,0,125,0,Blackpool
35,1,0,90,.667,be BEL,Ruud Boffin,GK,22,0.0,0,1.00,0,1,3,1,0,90,1,West Ham United
36,1,0,90,.750,de GER,Jens Lehmann,GK,40,0.0,0,1.00,0,1,4,1,0,90,1,Arsenal
37,0,1,51,.571,ie IRL,Colin Doyle,GK,25,,0,5.29,1,3,7,1,0,51,0,Birmingham City
38,0,0,29,1.000,eng ENG,Mike Pollitt,GK,38,,0,0.00,1,0,2,1,0,29,0,Wigan Athletic
39,0,0,25,1.000,eng ENG,Mark Halstead,GK,20,,0,0.00,1,0,4,1,0,25,0,Blackpool
