,squad,games_starts,minutes,clean_sheets_perc,losses,wins,goals_against_per90,games_subs,keepers_used,minutes_per_game,goals_against,shots_on_target_against,save_perc,games,draws,clean_sheets
0,Arsenal,38,"3,420",47.4,7,20,0.95,0,2,90,36,149,.758,38,11,18
1,Aston Villa,38,"3,420",15.8,27,3,2.00,0,2,90,76,186,.591,38,8,6
2,Bournemouth,38,"3,420",18.4,18,11,1.76,1,3,88,67,153,.562,39,9,7
3,Chelsea,38,"3,419",23.7,12,12,1.40,2,2,85,53,172,.692,40,14,9
4,Crystal Palace,38,"3,420",21.1,18,11,1.34,0,3,90,51,168,.696,38,9,8
5,Everton,38,"3,420",26.3,13,11,1.45,0,2,90,55,180,.694,38,14,10
6,Leicester City,38,"3,420",39.5,3,23,0.95,0,1,90,36,136,.735,38,12,15
7,Liverpool,38,"3,420",0.0,10,16,1.32,0,3,90,50,130,.615,38,12,0
8,Manchester City,38,"3,420",42.1,10,19,1.08,1,2,88,41,125,.672,39,9,16
9,Manchester United,38,"3,420",47.4,10,19,0.92,0,2,90,35,120,.708,38,9,18
10,Newcastle United,38,"3,420",21.1,19,9,1.71,0,3,90,65,178,.635,38,10,8
11,Norwich City,38,"3,420",13.2,22,9,1.76,0,2,90,67,165,.594,38,7,5
12,Southampton,38,"3,420",31.6,11,18,1.08,0,4,90,41,133,.692,38,9,12
13,Stoke City,38,"3,420",26.3,15,14,1.45,1,3,88,55,175,.686,39,9,10
14,Sunderland,38,"3,420",18.4,17,9,1.63,0,3,90,62,214,.710,38,12,7
15,Swansea City,38,"3,420",23.7,15,12,1.37,0,2,90,52,165,.685,38,11,9
16,Tottenham Hotspur,38,"3,420",34.2,6,19,0.92,0,2,90,35,121,.711,38,13,13
17,Watford,38,"3,420",28.9,17,12,1.32,1,2,88,50,124,.597,39,9,11
18,West Bromwich Albion,38,"3,420",28.9,15,10,1.26,0,2,90,48,155,.690,38,13,11
19,West Ham United,38,"3,420",28.9,8,16,1.34,0,2,90,51,162,.685,38,14,11
