squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,3,2.26,1.29,,41,1.21,30,1.5,,54,42,4.79,59,201,4,2.19,4,42,3780,31.0,17,13,1.17,0,2,90,49,190,0.742,42,12,13,1994
Aston Villa,1,1.98,1.14,,39,1.02,23,1.31,,48,42,4.17,52,175,3,1.95,1,42,3780,26.2,16,11,1.33,1,2,88,56,197,0.716,43,15,11,1994
Blackburn Rovers,10,3.24,1.86,,58,1.62,19,1.26,,78,42,6.29,49,264,4,3.0,12,42,3790,38.1,7,27,0.93,1,2,88,39,165,0.764,43,8,16,1994
Chelsea,1,2.05,1.12,,39,1.1,23,1.45,,47,42,4.55,58,191,3,2.02,2,42,3780,31.0,14,13,1.31,0,2,90,55,214,0.743,42,15,13,1994
Coventry City,5,1.86,1.0,,36,0.88,27,1.55,,42,42,4.86,63,204,2,1.74,5,42,3780,31.0,16,12,1.48,0,3,90,62,213,0.7090000000000001,42,14,13,1994
Crystal Palace,1,1.17,0.79,,22,0.62,22,1.21,,33,42,3.14,50,132,1,1.14,3,42,3780,33.3,19,11,1.17,1,2,88,49,196,0.75,43,12,14,1994
Everton,1,1.95,1.02,,39,1.0,24,1.43,,43,42,4.43,54,186,6,1.93,3,42,3780,33.3,14,11,1.21,0,2,90,51,232,0.78,42,17,14,1994
Ipswich Town,3,1.14,0.64,,21,0.57,27,0.93,,27,42,3.26,37,137,2,1.07,3,42,3780,7.1,29,7,2.21,0,3,90,93,285,0.674,42,6,3,1994
Leeds United,3,2.43,1.33,,46,1.26,20,1.36,,56,42,5.31,57,223,0,2.36,4,42,3780,40.5,9,20,0.9,0,1,90,38,198,0.8079999999999999,42,13,17,1994
Leicester City,0,1.74,1.1,,27,1.1,28,1.57,,46,42,3.79,58,159,8,1.74,1,42,3780,9.5,25,6,1.9,0,2,90,80,245,0.6729999999999999,42,11,4,1994
Liverpool,5,2.52,1.43,,46,1.24,20,0.9,,60,42,5.43,42,228,1,2.26,6,42,3780,38.1,10,21,0.88,0,1,90,37,170,0.782,42,11,16,1994
Manchester City,1,2.36,1.26,,46,1.24,26,1.29,,53,42,4.64,50,195,4,2.33,2,42,3780,23.8,17,12,1.52,1,3,88,64,224,0.7140000000000001,43,13,10,1994
Manchester United,4,2.9,1.81,,58,1.43,23,1.45,,76,42,4.71,59,198,2,2.81,4,42,3780,57.1,6,26,0.67,0,2,90,28,160,0.825,42,10,24,1994
Newcastle United,4,2.57,1.57,,54,1.19,22,1.31,,66,42,4.1,51,172,4,2.48,5,42,3730,33.3,10,20,1.13,2,2,85,47,185,0.746,44,12,14,1994
Norwich City,2,1.38,0.74,,27,0.69,24,1.48,,31,42,3.45,61,145,1,1.33,3,42,3780,23.8,18,10,1.26,0,3,90,53,194,0.727,42,13,10,1994
Nottingham Forest,5,3.31,1.69,,68,1.57,20,1.4,,71,42,5.0,58,210,1,3.19,6,42,3780,31.0,9,22,1.02,0,1,90,43,169,0.746,42,11,13,1994
Queens Park Rangers,0,2.55,1.43,,47,1.43,22,1.6,,60,42,4.9,63,206,4,2.55,1,42,3780,23.8,16,17,1.4,0,2,90,59,194,0.696,42,9,10,1994
Sheffield Wednesday,1,1.67,1.14,,34,0.83,25,1.31,,48,42,3.76,52,158,3,1.64,2,42,3750,28.6,17,13,1.37,1,2,87,57,195,0.708,43,12,12,1994
Southampton,3,2.12,1.45,,36,1.19,24,1.52,,61,42,4.17,64,175,0,2.05,3,42,3870,21.4,12,12,1.47,1,2,90,63,222,0.716,43,18,9,1994
Tottenham Hotspur,2,2.64,1.48,,49,1.43,24,1.1,,62,42,4.74,44,199,2,2.6,3,42,3780,26.2,12,16,1.38,0,2,90,58,181,0.68,42,14,11,1994
West Ham United,5,1.81,1.05,,32,0.93,24,1.6,,44,42,4.38,63,184,4,1.69,5,42,3780,31.0,18,13,1.14,0,1,90,48,192,0.75,42,11,13,1994
Wimbledon,3,1.76,0.95,,34,0.88,23,1.45,,40,42,4.07,56,171,5,1.69,4,42,3780,28.6,16,15,1.55,0,2,90,65,211,0.6920000000000001,42,11,12,1994
