squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att,games_starts_gk,minutes_gk,clean_sheets_perc_gk,losses_gk,wins_gk,goals_against_per90_gk,games_subs_gk,keepers_used_gk,minutes_per_game_gk,goals_against_gk,shots_on_target_against_gk,save_perc_gk,games_gk,draws_gk,clean_sheets_gk,season
Arsenal,4,2.95,1.74,479,46,1.63,27,1.5,12.61,66,38,7.24,55,275,2,2.84,7,38,3420,42.1,11,20,0.82,0,1,90,31,169,0.8170000000000001,38,7,16,2005
Aston Villa,1,2.0,1.08,522,35,1.05,25,1.68,13.74,41,38,4.97,63,189,1,1.97,4,38,3420,28.9,16,10,1.45,0,2,90,55,251,0.7809999999999999,38,12,11,2005
Birmingham City,2,1.18,0.68,484,19,0.63,27,1.58,12.74,26,38,4.5,53,171,7,1.13,2,38,3420,26.3,20,8,1.32,0,2,90,50,222,0.775,38,10,10,2005
Blackburn Rovers,4,2.05,1.29,568,29,1.18,23,2.21,14.95,49,38,4.76,78,181,6,1.95,4,38,3420,42.1,13,19,1.11,0,1,90,42,185,0.773,38,6,16,2005
Bolton Wanderers,2,2.11,1.24,506,33,1.18,24,1.76,13.32,47,38,5.37,64,204,3,2.05,4,38,3420,39.5,12,15,1.08,0,1,90,41,188,0.782,38,11,15,2005
Charlton Athletic,4,1.84,1.08,500,29,0.97,27,1.21,13.16,41,38,4.97,44,189,2,1.74,4,35,3150,34.3,15,12,1.34,0,2,90,47,211,0.777,35,8,12,2005
Chelsea,4,3.18,1.87,435,50,1.76,24,1.82,11.45,71,38,7.34,64,279,5,3.08,4,38,3420,52.6,5,29,0.58,1,3,88,22,154,0.857,39,4,20,2005
Everton,1,1.5,0.84,538,25,0.82,23,1.89,14.16,32,38,5.42,65,206,7,1.47,3,44,3879,29.5,20,14,1.35,2,4,84,58,231,0.7490000000000001,46,9,13,2005
Fulham,4,2.16,1.24,467,35,1.13,26,1.76,12.29,47,38,4.74,65,180,2,2.05,4,38,3420,26.3,18,14,1.53,2,3,86,58,226,0.743,40,6,10,2005
Liverpool,4,2.53,1.42,446,42,1.32,22,1.45,11.74,54,38,7.45,50,283,5,2.42,5,38,3412,57.9,6,25,0.66,0,2,90,25,163,0.847,38,7,22,2005
Manchester City,1,1.92,1.11,513,31,1.08,25,1.92,13.5,42,38,5.42,69,206,4,1.89,2,38,3420,15.8,21,13,1.26,0,1,90,48,206,0.767,38,4,6,2005
Manchester United,2,3.11,1.79,483,50,1.74,23,1.66,12.71,68,38,7.53,61,286,2,3.05,3,38,3420,47.4,5,25,0.89,1,2,88,34,187,0.818,39,8,18,2005
Middlesbrough,5,2.16,1.26,490,34,1.13,30,1.47,12.89,48,38,5.55,53,211,3,2.03,5,38,3420,26.3,17,12,1.53,0,3,90,58,222,0.7390000000000001,38,9,10,2005
Newcastle United,5,2.0,1.18,593,31,1.05,22,1.82,15.61,45,38,5.5,63,209,6,1.87,5,38,3420,34.2,14,17,1.11,0,1,90,42,175,0.76,38,7,13,2005
Portsmouth,2,1.53,0.95,499,22,0.89,28,1.47,13.13,36,38,5.97,55,227,1,1.47,2,35,3150,14.3,18,10,1.74,0,2,90,61,194,0.6859999999999999,35,4,5,2005
Sunderland,2,1.03,0.63,536,15,0.58,27,1.92,14.11,24,38,4.74,69,180,4,0.97,2,38,3420,10.5,29,3,1.82,0,2,90,69,277,0.7509999999999999,38,6,4,2005
Tottenham Hotspur,4,2.37,1.37,455,38,1.26,23,1.47,11.97,52,38,6.08,50,231,6,2.26,6,38,3420,34.2,9,18,1.0,0,1,90,38,165,0.77,38,11,13,2005
West Bromwich Albion,1,1.26,0.82,466,18,0.76,26,1.29,12.26,31,38,4.08,47,155,2,1.24,2,38,3391,26.3,22,7,1.49,0,2,89,56,245,0.7709999999999999,38,9,10,2005
West Ham United,3,2.03,1.26,478,29,1.18,26,1.37,12.58,48,38,4.32,50,164,2,1.95,5,38,3420,23.7,15,16,1.45,1,4,88,55,219,0.7490000000000001,39,7,9,2005
Wigan Athletic,1,1.95,1.16,497,30,1.13,25,1.55,13.08,44,38,5.55,55,211,4,1.92,1,38,3420,26.3,17,15,1.37,1,2,88,52,201,0.741,39,6,10,2005
