,squad,pens_made,goals_assists_perG,goals_perG,fouls,assists,goals_pens_perG,players_used,cards_perG,fouls_perG,goals,games,shots_on_target_perG,cards_yellow,shots_on_target,cards_red,goals_assists_pens_perG,pens_att
0,Arsenal,3,2.21,1.29,,35,1.21,23,1.66,,49,38,5.26,61,200,2,2.13,5
1,Aston Villa,2,2.26,1.29,,37,1.24,22,1.26,,49,38,4.55,46,173,2,2.21,2
2,Blackburn Rovers,3,2.76,1.58,,45,1.50,25,1.97,,60,38,5.79,70,220,5,2.68,3
3,Bolton Wanderers,3,1.74,1.03,,27,0.95,23,1.74,,39,38,4.37,64,166,2,1.66,3
4,Chelsea,3,2.08,1.18,,34,1.11,22,2.00,,45,38,4.58,74,174,2,2.00,4
5,Coventry City,1,1.92,1.11,,31,1.08,26,1.63,,42,38,4.82,60,183,2,1.89,2
6,Everton,4,2.84,1.66,,45,1.55,23,1.84,,63,38,4.97,67,189,3,2.74,4
7,Leeds United,2,1.74,1.00,,28,0.95,28,1.63,,38,38,4.89,57,186,5,1.68,3
8,Liverpool,1,3.21,1.79,,54,1.68,18,1.03,,68,38,6.37,40,242,0,2.97,1
9,Manchester City,1,1.55,0.87,,26,0.84,24,1.66,,33,38,4.37,57,166,6,1.53,2
10,Manchester United,4,3.53,1.89,,62,1.79,21,1.45,,72,38,5.66,52,215,3,3.42,4
11,Middlesbrough,3,1.61,0.89,,27,0.82,28,1.87,,34,38,4.03,68,153,3,1.53,4
12,Newcastle United,3,3.21,1.79,,54,1.71,18,1.32,,68,38,5.66,50,215,0,3.13,4
13,Nottingham Forest,3,2.18,1.26,,35,1.18,19,1.26,,48,38,4.82,46,183,2,2.11,3
14,Queens Park Rangers,0,1.84,0.97,,33,0.97,25,1.95,,37,38,4.00,70,152,4,1.82,1
15,Sheffield Wednesday,4,2.24,1.26,,37,1.16,25,0.82,,48,38,4.84,29,184,2,2.13,4
16,Southampton,4,1.42,0.87,,21,0.76,23,1.66,,33,38,4.00,61,152,2,1.32,4
17,Tottenham Hotspur,2,2.24,1.24,,38,1.18,21,1.45,,47,38,4.76,55,181,0,2.18,2
18,West Ham United,5,1.89,1.13,,29,1.00,27,1.45,,43,38,5.13,51,195,4,1.76,6
19,Wimbledon,2,2.45,1.42,,39,1.37,29,1.87,,54,38,4.84,63,184,8,2.39,2
